"seq","file","url","path"
"39","225A-BD0078-page-039.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62634.jpg","LPSFNT/BD0078/225A/Img62634.jpg"
"40","225A-BD0078-page-040.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62635.jpg","LPSFNT/BD0078/225A/Img62635.jpg"
"41","225A-BD0078-page-041.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62636.jpg","LPSFNT/BD0078/225A/Img62636.jpg"
"42","225A-BD0078-page-042.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62637.jpg","LPSFNT/BD0078/225A/Img62637.jpg"
"43","225A-BD0078-page-043.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62638.jpg","LPSFNT/BD0078/225A/Img62638.jpg"
"44","225A-BD0078-page-044.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62639.jpg","LPSFNT/BD0078/225A/Img62639.jpg"
"45","225A-BD0078-page-045.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62640.jpg","LPSFNT/BD0078/225A/Img62640.jpg"
"46","225A-BD0078-page-046.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62641.jpg","LPSFNT/BD0078/225A/Img62641.jpg"
"47","225A-BD0078-page-047.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62642.jpg","LPSFNT/BD0078/225A/Img62642.jpg"
"48","225A-BD0078-page-048.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62643.jpg","LPSFNT/BD0078/225A/Img62643.jpg"
"49","225A-BD0078-page-049.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62644.jpg","LPSFNT/BD0078/225A/Img62644.jpg"
"50","225A-BD0078-page-050.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62645.jpg","LPSFNT/BD0078/225A/Img62645.jpg"
"51","225A-BD0078-page-051.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62646.jpg","LPSFNT/BD0078/225A/Img62646.jpg"
"52","225A-BD0078-page-052.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62647.jpg","LPSFNT/BD0078/225A/Img62647.jpg"
"53","225A-BD0078-page-053.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62648.jpg","LPSFNT/BD0078/225A/Img62648.jpg"
"54","225A-BD0078-page-054.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62649.jpg","LPSFNT/BD0078/225A/Img62649.jpg"
"55","225A-BD0078-page-055.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62650.jpg","LPSFNT/BD0078/225A/Img62650.jpg"
"56","225A-BD0078-page-056.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62651.jpg","LPSFNT/BD0078/225A/Img62651.jpg"
"57","225A-BD0078-page-057.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62652.jpg","LPSFNT/BD0078/225A/Img62652.jpg"
"58","225A-BD0078-page-058.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62653.jpg","LPSFNT/BD0078/225A/Img62653.jpg"
"59","225A-BD0078-page-059.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62654.jpg","LPSFNT/BD0078/225A/Img62654.jpg"
"60","225A-BD0078-page-060.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62655.jpg","LPSFNT/BD0078/225A/Img62655.jpg"
"61","225A-BD0078-page-061.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62656.jpg","LPSFNT/BD0078/225A/Img62656.jpg"
"62","225A-BD0078-page-062.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62657.jpg","LPSFNT/BD0078/225A/Img62657.jpg"
"63","225A-BD0078-page-063.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62658.jpg","LPSFNT/BD0078/225A/Img62658.jpg"
"64","225A-BD0078-page-064.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62659.jpg","LPSFNT/BD0078/225A/Img62659.jpg"
"65","225A-BD0078-page-065.jpg","https://coslstorage.blob.core.windows.net/history-docs/TLPSFNT/BD0078/225A/Img62660.jpg","LPSFNT/BD0078/225A/Img62660.jpg"
